trait	fam	size	corr
1	Acoustic_Linear_Distance_BLUP	FjDe	10	-0.0400416356693122
2	Acoustic_Linear_Distance_BLUP	FjDe	20	-0.0518526599815244
3	Acoustic_Linear_Distance_BLUP	FjDe	30	0.161178533829283
4	Acoustic_Linear_Distance_BLUP	FjDe	40	0.0487002931391448
5	Acoustic_Linear_Distance_BLUP	FjDe	50	0.0732731888912294
6	Acoustic_Linear_Distance_BLUP	FjDe	60	0.117002872959995
7	Acoustic_Linear_Distance_BLUP	FjDe	70	0.0921875000874158
8	Acoustic_Linear_Distance_BLUP	FjDe	80	0.0435366171508234
9	Acoustic_Linear_Distance_BLUP	FjDe	90	0.0321148716600161
10	Acoustic_Linear_Distance_BLUP	FjDe	100	0.184244464360202
11	Acoustic_Linear_Distance_BLUP	FjDe	110	0.165310447363017
12	Acoustic_Linear_Distance_BLUP	FjDe	120	0.0956793756892116
13	Acoustic_Linear_Distance_BLUP	FjDe	130	0.00082769107368196
14	Acoustic_Linear_Distance_BLUP	FjDe	140	0.0608104073555545
15	Acoustic_Linear_Distance_BLUP	FjDe	150	0.0674756326443672
16	Acoustic_Linear_Distance_BLUP	FjDe	160	0.0525872270731713
17	Acoustic_Linear_Distance_BLUP	FjDe	170	-0.0365485461351242
18	Acoustic_Linear_Distance_BLUP	FjDe	180	0.0232158901641903
19	Acoustic_Linear_Distance_BLUP	FjDe	190	0.0285061826967333
20	Acoustic_Linear_Distance_BLUP	FjDe	200	0.0901003038907665
21	Acoustic_Linear_Distance_BLUP	FjDe	210	0.0892997777612021
22	Acoustic_Linear_Distance_BLUP	FjPL	10	-0.0510679065051441
23	Acoustic_Linear_Distance_BLUP	FjPL	20	-0.130445384037951
24	Acoustic_Linear_Distance_BLUP	FjPL	30	-0.137210230027362
25	Acoustic_Linear_Distance_BLUP	FjPL	40	-0.111929243241782
26	Acoustic_Linear_Distance_BLUP	FjPL	50	-0.0864315222129885
27	Acoustic_Linear_Distance_BLUP	FjPL	60	-0.0455620664974606
28	Acoustic_Linear_Distance_BLUP	FjPL	70	-0.00212252229377618
29	Acoustic_Linear_Distance_BLUP	FjPL	80	0.138185236287197
30	Acoustic_Linear_Distance_BLUP	FjPL	90	0.10396953359444
31	Acoustic_Linear_Distance_BLUP	FjPL	100	0.103210377063777
32	Acoustic_Linear_Distance_BLUP	FjPL	110	0.0235482059846909
33	Acoustic_Linear_Distance_BLUP	FjPL	120	0.00937740814978814
34	Acoustic_Linear_Distance_BLUP	FjPL	130	0.000691193277005836
35	Acoustic_Linear_Distance_BLUP	FjPL	140	-0.00756053198558923
36	Acoustic_Linear_Distance_BLUP	FjPL	150	0.000954241270014577
37	Acoustic_Linear_Distance_BLUP	FjPL	160	-0.0489984753793009
38	Acoustic_Linear_Distance_BLUP	FjPL	170	-0.0126882387557005
39	Acoustic_Linear_Distance_BLUP	FjPL	180	-0.0266644458969212
40	Acoustic_Linear_Distance_BLUP	FjPL	190	-0.032059702014838
41	Acoustic_Linear_Distance_BLUP	FjPL	200	-0.00529427238995388
42	Acoustic_Linear_Distance_BLUP	FjPL	210	-0.00580820999349902
43	Acoustic_Linear_Distance_BLUP	FuPi	10	0.143052009590743
44	Acoustic_Linear_Distance_BLUP	FuPi	20	0.167782852682702
45	Acoustic_Linear_Distance_BLUP	FuPi	30	0.0999944761424705
46	Acoustic_Linear_Distance_BLUP	FuPi	40	0.253965914065433
47	Acoustic_Linear_Distance_BLUP	FuPi	50	0.257974734903558
48	Acoustic_Linear_Distance_BLUP	FuPi	60	0.162010413911114
49	Acoustic_Linear_Distance_BLUP	FuPi	70	0.221813980579086
50	Acoustic_Linear_Distance_BLUP	FuPi	80	0.121399547163152
51	Acoustic_Linear_Distance_BLUP	FuPi	90	0.122932818325844
52	Acoustic_Linear_Distance_BLUP	FuPi	100	0.0691823432135593
53	Acoustic_Linear_Distance_BLUP	FuPi	110	0.0316703976790076
54	Acoustic_Linear_Distance_BLUP	FuPi	120	-0.0337931618730144
55	Acoustic_Linear_Distance_BLUP	FuPi	130	-0.0299988013756428
56	Acoustic_Linear_Distance_BLUP	FuPi	140	0.00221595255536235
57	Acoustic_Linear_Distance_BLUP	FuPi	150	-0.0371596224226138
58	Acoustic_Linear_Distance_BLUP	FuPi	160	0.0176538656019899
59	Acoustic_Linear_Distance_BLUP	FuPi	170	0.0456109440056476
60	Acoustic_Linear_Distance_BLUP	FuPi	180	0.0823256548462532
61	Acoustic_Linear_Distance_BLUP	FuPi	190	0.0810431401946598
