EV_Eve1_R422	FB_0000011	FB_0000517	FB_0000521	FB_0000529	FB_0000582	FB_0000870	FB_0000880	FB_0000978	FB_0000981	FB_0000984	FB_0000986	FB_0000988	FB_0000989	FB_0000993	FB_0000996	FB_0001462	FB_0001465	FB_0001467	FB_0001468	FB_0001475	FB_0002378	FB_0002632	FB_0002636	FB_0002637	FB_0002639	FB_0002649	FB_0002653	FB_0003079	FB_0003096	FB_0003104	FB_0003106	FB_0003107	FB_0003114	FB_0003118	FB_0003482	FB_0003485	FB_0003489	FB_0003490	FB_0003491	FB_0004014	FB_0004016	FB_0004019	FB_0004037	FB_0004038	FB_0004046	FB_0004993	FB_0005006	FB_0005008	FB_0005457	FB_0005458	FB_0005460	FB_0005956	FB_0005957	FB_0005958	FB_0005963	FB_0005966	FB_0005974	FB_0005980	FB_0007370	FB_0007375	FB_0007388	FB_0007623	FB_0007625	FB_0007631	FB_0007637	FB_0008274	FB_0008287	FB_0008291	FB_0008294	FB_0008612	FB_0008635	FB_0008637	FB_0009203	FB_0009209	FB_0009214	FB_0009218	FB_0009219	FB_0009220	FB_0009237	FB_0009256	FB_0009745	FB_0009751	FB_0009753	FB_0009773	FB_0010446	FB_0010458	FB_0010475	FB_0010610	FB_0010613	FB_0010620	FB_0010622	FB_0010624	FB_0010626	FB_0010630	FB_0011059	FB_0011074	FB_0011075	FB_0011077	(Other)
FxD_Fuji	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19	2890	4807	2823	19
FxD_Delearly	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26	2968	4659	2886	26
FxD_1	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635	3048	3895	2961	635
FxD_10	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582	2960	4118	2879	582
FxD_11	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543	2892	4262	2842	543
FxD_12	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715	2962	3984	2878	715
FxD_13	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556	2795	4423	2765	556
FxD_14	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725	2766	4303	2745	725
FxD_15	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613	2870	4287	2769	613
FxD_16	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538	3008	4030	2963	538
