Index	Name	Name_new
1	AFL2	AFL2
2	CONS61	CONS61
3	EV_26C_R713	EV_26C_R713
4	EV_26C_R713-bis	EV_26C_R713-bis
5	EV_26C_Y585	EV_26C_Y585
6	EV_Eve1_R422	EV_Eve1_R422
7	EV_Eve4_Y192	EV_Eve4_Y192
8	EV_Eve4_Y495	EV_Eve4_Y495
9	EV_M45TA_Y144	EV_M45TA_Y144
10	FEM_cg_1	FEM_cg_1
11	FEM_cg_10	FEM_cg_10
12	FEM_cg_11	FEM_cg_11
13	FEM_cg_13	FEM_cg_13
14	FEM_cg_14	FEM_cg_14
15	FEM_cg_15	FEM_cg_15
16	FEM_cg_16	FEM_cg_16
17	FEM_cg_17	FEM_cg_17
18	FEM_cg_18	FEM_cg_18
19	FEM_cg_19	FEM_cg_19
20	FEM_cg_19-bis	FEM_cg_19-bis
21	FEM_cg_21	FEM_cg_21
22	FEM_cg_22	FEM_cg_22
23	FEM_cg_23	FEM_cg_23
24	FEM_cg_3	FEM_cg_3
25	FEM_cg_4	FEM_cg_4
26	FEM_cg_5	FEM_cg_5
27	FEM_cg_6	FEM_cg_6
28	FEM_cg_6-bis	FEM_cg_6-bis
29	FEM_cg_7	FEM_cg_7
30	FEM_cg_8	FEM_cg_8
31	FEM_cg_9	FEM_cg_9
32	GD_SNP01857	GD_SNP01857
33	GDsnp00002	GD_00002
34	GDsnp00010	GD_00010
35	GDsnp00015	GD_00015
36	GDsnp00023	GD_00023
37	GDsnp00025	GD_00025
38	GDsnp00030	GD_00030
39	GDsnp00037	GD_00037
40	GDsnp00038	GD_00038
41	GDsnp00039	GD_00039
42	GDsnp00047	GD_00047
43	GDsnp00052	GD_00052
44	GDsnp00053	GD_00053
45	GDsnp00056	GD_00056
46	GDsnp00073	GD_00073
47	GDsnp00076	GD_00076
48	GDsnp00077	GD_00077
49	GDsnp00079	GD_00079
50	GDsnp00082	GD_00082
51	GDsnp00086	GD_00086
52	GDsnp00091	GD_00091
53	GDsnp00092	GD_00092
54	GDsnp00094	GD_00094
55	GDsnp00098	GD_00098
56	GDsnp00099	GD_00099
57	GDsnp00100	GD_00100
58	GDsnp00106	GD_00106
59	GDsnp00107	GD_00107
60	GDsnp00116	GD_00116
61	GDsnp00124	GD_00124
62	GDsnp00125	GD_00125
63	GDsnp00134	GD_00134
64	GDsnp00136	GD_00136
65	GDsnp00148	GD_00148
66	GDsnp00152	GD_00152
67	GDsnp00157	GD_00157
68	GDsnp00159	GD_00159
69	GDsnp00163	GD_00163
70	GDsnp00164	GD_00164
71	GDsnp00167	GD_00167
72	GDsnp00169	GD_00169
73	GDsnp00170	GD_00170
74	GDsnp00171	GD_00171
75	GDsnp00173	GD_00173
76	GDsnp00174	GD_00174
77	GDsnp00175	GD_00175
78	GDsnp00179	GD_00179
79	GDsnp00181	GD_00181
80	GDsnp00182	GD_00182
81	GDsnp00183	GD_00183
82	GDsnp00189	GD_00189
83	GDsnp00194	GD_00194
84	GDsnp00195	GD_00195
85	GDsnp00206	GD_00206
86	GDsnp00208	GD_00208
87	GDsnp00212	GD_00212
88	GDsnp00213	GD_00213
89	GDsnp00214	GD_00214
90	GDsnp00215	GD_00215
91	GDsnp00222	GD_00222
92	GDsnp00232	GD_00232
93	GDsnp00235	GD_00235
94	GDsnp00238	GD_00238
95	GDsnp00240	GD_00240
96	GDsnp00246	GD_00246
97	GDsnp00248	GD_00248
98	GDsnp00250	GD_00250
99	GDsnp00254	GD_00254
100	GDsnp00257	GD_00257
101	GDsnp00259	GD_00259
102	GDsnp00260	GD_00260
103	GDsnp00267	GD_00267
104	GDsnp00273	GD_00273
105	GDsnp00274	GD_00274
106	GDsnp00276	GD_00276
107	GDsnp00279	GD_00279
108	GDsnp00283	GD_00283
109	GDsnp00286	GD_00286
110	GDsnp00293	GD_00293
111	GDsnp00301	GD_00301
112	GDsnp00308	GD_00308
