-1	0	1	GD_00053	NA's	tot_avail
EV_Eve1_R422	227	1	208	227	1	436
FEM_cg_1	6	233	196	1	6	435
FEM_cg_10	228	1	207	228	1	436
FEM_cg_11	217	1	218	217	1	436
FEM_cg_14	226	188	1	21	226	415
FEM_cg_17	217	1	218	217	1	436
FEM_cg_18	217	1	218	217	1	436
FEM_cg_19	127	306	1	2	127	434
FEM_cg_4	4	298	133	1	4	435
FEM_cg_5	138	297	1	138	297	436
FEM_cg_6	137	297	1	1	137	435
FEM_cg_8	228	1	207	228	1	436
FEM_cg_9	217	1	218	217	1	436
GD_00002	171	263	1	1	171	435
GD_00010	154	196	1	85	154	351
GD_00015	215	1	220	215	1	436
GD_00023	115	319	1	1	115	435
GD_00025	350	85	1	350	85	436
GD_00030	183	179	1	73	183	363
GD_00037	236	164	1	35	236	401
GD_00038	235	186	1	14	235	422
GD_00039	138	295	1	2	138	434
GD_00052	321	112	1	2	321	434
GD_00053	111	257	66	1	1	434
GD_00073	219	1	216	219	1	436
GD_00076	224	211	1	224	211	436
GD_00077	316	118	1	1	316	435
GD_00079	180	185	1	70	180	366
GD_00086	147	286	1	2	147	434
GD_00091	390	43	1	2	390	434
GD_00094	355	80	1	355	80	436
GD_00098	228	139	1	68	228	368
GD_00099	91	344	1	91	344	436
GD_00100	219	204	12	1	219	435
GD_00106	104	197	1	134	104	302
GD_00107	200	217	1	18	200	418
GD_00116	222	1	213	222	1	436
GD_00124	277	149	1	9	277	427
GD_00125	216	160	1	59	216	377
GD_00134	165	264	1	6	165	430
GD_00136	297	136	1	2	297	434
GD_00148	338	97	1	338	97	436
GD_00152	239	192	1	4	239	432
GD_00157	96	234	105	1	96	435
GD_00159	116	319	1	116	319	436
GD_00164	351	80	1	4	351	432
GD_00167	179	256	1	179	256	436
GD_00169	295	139	1	1	295	435
GD_00170	243	1	192	243	1	436
GD_00171	140	268	1	27	140	409
GD_00174	1	260	174	1	1	435
GD_00175	124	223	1	88	124	348
GD_00179	221	192	22	1	221	435
GD_00181	388	46	1	1	388	435
GD_00182	286	148	1	1	286	435
GD_00183	176	241	1	18	176	418
GD_00194	170	215	50	1	170	435
GD_00206	216	121	1	98	216	338
GD_00208	117	318	1	117	318	436
GD_00213	319	115	1	1	319	435
GD_00214	131	256	48	1	131	435
GD_00215	200	175	1	60	200	376
GD_00222	209	141	1	85	209	351
GD_00232	216	145	1	74	216	362
GD_00235	137	285	1	13	137	423
GD_00238	183	207	1	45	183	391
GD_00240	230	1	205	230	1	436
GD_00246	225	200	10	1	225	435
GD_00248	190	195	1	50	190	386
GD_00250	122	208	105	1	122	435
GD_00254	257	178	1	257	178	436
GD_00257	46	389	1	46	389	436
GD_00259	78	343	1	14	78	422
GD_00260	221	1	214	221	1	436
GD_00267	230	184	1	21	230	415
GD_00273	211	198	26	1	211	435
GD_00274	52	171	212	1	52	435
GD_00276	217	191	1	27	217	409
GD_00279	37	187	211	1	37	435
GD_00283	256	174	1	5	256	431
GD_00293	99	208	1	128	99	308
GD_00308	50	243	142	1	50	435
GD_00311	55	261	119	1	55	435
GD_00314	255	167	1	13	255	423
GD_00319	41	341	51	1	2	433
GD_00321	334	100	1	1	334	435
GD_00323	207	217	1	11	207	425
GD_00324	60	178	196	1	1	434
GD_00330	261	168	1	6	261	430
GD_00331	225	135	1	75	225	361
GD_00332	257	178	1	257	178	436
GD_00337	131	227	75	1	2	433
GD_00338	197	201	1	37	197	399
GD_00342	136	206	1	93	136	343
GD_00347	104	290	41	1	104	435
GD_00349	191	244	1	191	244	436
GD_00353	178	172	1	85	178	351
GD_00354	287	147	1	1	287	435
GD_00356	215	1	220	215	1	436
GD_00357	27	291	117	1	27	435
GD_00358	202	1	233	202	1	436
GD_00362	235	182	1	18	235	418
GD_00363	198	208	1	29	198	407
GD_00368	2	260	169	1	4	431
GD_00377	306	129	1	306	129	436
GD_00388	129	302	1	4	129	432
GD_00390	201	231	1	3	201	433
GD_00396	243	192	1	243	192	436
GD_00397	191	199	1	45	191	391
GD_00405	196	233	6	1	196	435
GD_00418	173	262	1	173	262	436
GD_00420	139	286	1	10	139	426
GD_00423	138	273	1	24	138	412
GD_00429	153	282	1	153	282	436
GD_00430	110	236	1	89	110	347
GD_00441	171	239	1	25	171	411
GD_00452	120	225	1	90	120	346
GD_00453	216	143	1	76	216	360
GD_00463	208	164	1	63	208	373
GD_00467	219	119	1	97	219	339
GD_00487	126	221	1	88	126	348
GD_00495	192	187	42	1	14	421
GD_00501	189	201	1	45	189	391
GD_00505	114	320	1	1	114	435
GD_00506	159	256	1	20	159	416
GD_00508	354	80	1	1	354	435
GD_00514	114	251	1	70	114	366
GD_00523	253	177	1	5	253	431
GD_00525	253	175	1	7	253	429
GD_00532	165	219	1	51	165	385
GD_00542	187	239	1	9	187	427
GD_00543	219	145	1	71	219	365
GD_00565	212	181	1	42	212	394
GD_00566	219	1	216	219	1	436
GD_00583	115	228	1	92	115	344
GD_00584	208	221	1	6	208	430
GD_00599	49	319	1	67	49	369
GD_00604	196	233	6	1	196	435
GD_00606	225	200	1	10	225	426
GD_00607	125	216	94	1	125	435
GD_00614	85	218	1	132	85	304
GD_00615	158	188	89	1	158	435
GD_00618	230	1	205	230	1	436
GD_00619	164	251	1	20	164	416
GD_00621	15	229	191	1	15	435
GD_00624	207	178	1	50	207	386
GD_00626	189	243	3	1	189	435
GD_00629	229	183	1	23	229	413
GD_00639	123	209	102	1	1	434
GD_00641	146	214	1	75	146	361
GD_00647	116	232	1	87	116	349
GD_00658	169	266	1	169	266	436
GD_00659	214	124	1	97	214	339
GD_00662	112	241	1	82	112	354
GD_00663	179	242	1	14	179	422
GD_00664	269	165	1	1	269	435
GD_00669	183	232	1	20	183	416
GD_00674	115	244	75	1	1	434
GD_00679	321	113	1	1	321	435
GD_00681	257	173	1	5	257	431
GD_00682	28	274	133	1	28	435
GD_00694	51	118	266	1	51	435
GD_00717	12	159	264	1	12	435
GD_00719	211	218	6	1	211	435
GD_00734	213	210	1	12	213	424
GD_00735	249	113	1	73	249	363
GD_00737	27	232	176	1	27	435
GD_00743	149	223	61	1	2	433
GD_00762	44	391	1	44	391	436
GD_00782	104	300	31	1	104	435
GD_00796	113	315	7	1	113	435
GD_00798	25	239	144	1	27	408
GD_00802	216	188	1	31	216	405
GD_00812	179	244	1	12	179	424
GD_00816	301	129	1	5	301	431
GD_00833	122	273	39	1	1	434
GD_00839	102	217	114	1	2	433
GD_00840	185	232	1	18	185	418
GD_00842	153	268	1	14	153	422
GD_00860	117	318	1	117	318	436
GD_00862	85	230	120	1	85	435
GD_00864	245	174	1	16	245	420
GD_00866	200	188	1	47	200	389
GD_00867	152	270	1	13	152	423
GD_00869	223	1	212	223	1	436
GD_00871	155	236	1	44	155	392
GD_00874	201	155	1	79	201	357
GD_00875	225	136	1	74	225	362
GD_00879	260	154	1	21	260	415
GD_00881	240	1	195	240	1	436
GD_00890	179	237	1	19	179	417
GD_00893	161	217	1	57	161	379
GD_00894	7	314	114	1	7	435
GD_00902	184	207	1	44	184	392
GD_00914	210	188	37	1	210	435
GD_00918	165	211	1	59	165	377
GD_00921	173	246	1	16	173	420
GD_00934	41	303	91	1	41	435
GD_00943	39	120	269	1	7	428
GD_00947	321	114	1	321	114	436
GD_00955	239	180	1	16	239	420
GD_00958	20	245	170	1	20	435
GD_00971	108	296	19	1	12	423
GD_00975	227	159	1	49	227	387
GD_00978	224	191	1	20	224	416
GD_00980	39	251	145	1	39	435
GD_00991	224	1	211	224	1	436
GD_01003	202	203	26	1	4	431
GD_01005	318	117	1	318	117	436
GD_01009	159	265	1	11	159	425
GD_01014	127	230	78	1	127	435
GD_01026	257	172	1	6	257	430
GD_01044	30	274	131	1	30	435
GD_01047	263	163	1	9	263	427
GD_01087	209	203	1	23	209	413
GD_01095	65	264	106	1	65	435
GD_01116	70	213	152	1	70	435
GD_01132	194	223	1	18	194	418
GD_01133	121	307	1	7	121	429
GD_01134	224	1	211	224	1	436
GD_01146	200	190	1	45	200	391
GD_01148	236	184	1	15	236	421
GD_01150	169	252	1	14	169	422
GD_01162	50	236	149	1	50	435
GD_01167	168	265	1	2	168	434
GD_01172	242	178	1	15	242	421
GD_01173	220	162	1	53	220	383
GD_01185	210	225	1	210	225	436
GD_01186	230	204	1	1	230	435
GD_01187	123	224	86	1	2	433
GD_01200	145	222	1	68	145	368
GD_01205	388	47	1	388	47	436
GD_01208	237	178	1	20	237	416
GD_01223	222	1	213	222	1	436
GD_01237	263	125	1	47	263	389
GD_01244	222	179	1	34	222	402
GD_01251	250	163	1	22	250	414
GD_01264	90	344	1	1	90	435
GD_01267	229	1	206	229	1	436
GD_01292	172	210	1	53	172	383
GD_01293	188	247	1	188	247	436
